rank,name,n,k_min,depot,customers,demand,capacity,route_size,initial_bks,initial_method,final_bks,final_team,improvement_pct
18,XL-n1841-k126,1840,126,E,RC (2),SL,186,14.6,214038,AILS-II,213981,Sub-Appro,0.027
19,XL-n1888-k82,1887,82,E,R,5--10,173,23.1,143623,AILS-II,143558,OptVerse-CityU,0.045
20,XL-n1934-k46,1933,46,C,C (6),1--100,2166,42.2,53013,AILS-II,52980,OptVerse-CityU,0.062
21,XL-n1981-k13,1980,13,R,RC (2),1--10,832,153.5,32580,AILS-II,32546,AILSII+,0.104
22,XL-n2028-k617,2027,617,C,C (6),50--100,247,3.3,544403,AILS-II,544166,TQrouting,0.044
23,XL-n2074-k264,2073,264,E,R,1--100,401,7.8,421627,AILS-II,421250,TQrouting,0.089
24,XL-n2121-k186,2120,186,R,RC (5),1--10,62,11.4,283211,AILS-II,283105,Sub-Appro,0.037
25,XL-n2168-k138,2167,138,C,R,Q,800,15.7,127298,AILS-II,127210,Sub-Appro,0.069
26,XL-n2214-k131,2213,131,R,C (5),U,17,17.8,154676,AILS-II,154652,OptVerse-CityU,0.016
27,XL-n2261-k54,2260,54,E,RC (5),5--10,319,42.5,98907,AILS-II,98826,AILSII+,0.082
28,XL-n2307-k34,2306,34,C,R,SL,479,69.6,47958,AILS-II,47936,AILSII+,0.046
29,XL-n2354-k631,2353,631,E,C (4),5--10,28,3.7,940825,AILS-II,940634,OptVerse-CityU,0.02
30,XL-n2401-k408,2400,408,R,RC (4),Q,303,5.9,463473,AILS-II,463084,TQrouting,0.084
31,XL-n2447-k290,2446,290,C,RC (2),SL,150,8.4,218706,AILS-II,218633,OptVerse-CityU,0.033
32,XL-n2494-k194,2493,194,E,C (2),1--100,661,12.9,361205,AILS-II,361057,AILSII+,0.041
33,XL-n2541-k121,2540,121,R,R,U,21,21.7,146390,AILS-II,146345,OptVerse-CityU,0.031
34,XL-n2587-k66,2586,66,C,R,50--100,2986,39.6,73394,FILO2,73254,OptVerse-CityU,0.191
35,XL-n2634-k17,2633,17,R,C (4),1--10,898,162.6,31641,FILO2,31619,Sub-Appro,0.07
36,XL-n2681-k540,2680,540,E,RC (3),1--100,251,5.0,798603,AILS-II,797906,TQrouting,0.087
37,XL-n2727-k546,2726,546,C,RC (5),U,5,5.3,431134,AILS-II,431108,Galileo,0.006
38,XL-n2774-k286,2773,286,E,C (5),50--100,731,9.7,407847,AILS-II,407617,TQrouting,0.056
39,XL-n2821-k208,2820,208,R,R,SL,179,13.5,216763,AILS-II,216622,OptVerse-CityU,0.065
40,XL-n2867-k120,2866,120,R,C (4),5--10,180,23.9,165990,AILS-II,165916,Sub-Appro,0.045
41,XL-n2914-k95,2913,95,C,RC (3),Q,1663,30.8,88990,AILS-II,88902,AILS-HGS,0.099
42,XL-n2961-k55,2960,55,E,R,1--10,297,53.8,108084,AILS-II,107945,OptVerse-CityU,0.129
43,XL-n3007-k658,3006,658,C,R,1--10,25,4.4,522319,AILS-II,522126,OptVerse-CityU,0.037
44,XL-n3054-k461,3053,461,E,RC (4),50--100,497,6.6,782739,AILS-II,782194,AILSII+,0.07
45,XL-n3101-k311,3100,311,R,C (3),SL,159,10.0,245937,AILS-II,245766,AILSII+,0.07
46,XL-n3147-k232,3146,232,R,RC (6),5--10,102,13.6,256626,AILS-II,256417,OptVerse-CityU,0.081
47,XL-n3194-k161,3193,161,C,R,Q,1012,19.9,148728,AILS-II,148596,OptVerse-CityU,0.089
48,XL-n3241-k115,3240,115,E,C (4),1--100,1404,28.3,221370,AILS-II,221249,OptVerse-CityU,0.055
49,XL-n3287-k30,3286,30,C,C (2),U,111,112.0,40229,AILS-II,40190,OptVerse-CityU,0.097
50,XL-n3334-k934,3333,934,E,R,1--10,20,3.5,1452698,AILS-II,1452353,OptVerse-CityU,0.024
51,XL-n3408-k524,3407,524,R,RC (3),Q,353,6.5,678643,AILS-II,678024,OptVerse-CityU,0.091
52,XL-n3484-k436,3483,436,E,C (6),U,8,8.2,703355,AILS-II,703319,TQrouting,0.005
53,XL-n3561-k229,3560,229,C,RC (5),1--100,779,15.6,209386,AILS-II,209191,OptVerse-CityU,0.093
54,XL-n3640-k211,3639,211,R,R,5--10,130,17.2,189724,AILS-II,189531,TQrouting,0.102
55,XL-n3721-k77,3720,77,E,RC (2),SL,371,48.8,162862,AILS-II,162630,OptVerse-CityU,0.142
56,XL-n3804-k29,3803,29,C,R,50--100,10064,134.0,52885,AILS-II,52838,AILS-HGS,0.089
57,XL-n3888-k1010,3887,1010,R,C (2),SL,128,4.2,1880368,AILS-II,1877119,AILSII+,0.173
58,XL-n3975-k687,3974,687,C,RC (4),1--10,32,5.6,525901,AILS-II,525560,TQrouting,0.065
59,XL-n4063-k347,4062,347,E,R,Q,598,11.7,548931,AILS-II,548330,OptVerse-CityU,0.109
60,XL-n4153-k291,4152,291,R,C (3),1--100,726,14.3,356034,AILS-II,355780,OptVerse-CityU,0.071
61,XL-n4245-k203,4244,203,R,R,U,21,21.0,229659,AILS-II,229521,OptVerse-CityU,0.06
62,XL-n4340-k148,4339,148,E,RC (6),50--100,2204,29.3,244226,AILS-II,243895,OptVerse-CityU,0.136
63,XL-n4436-k48,4435,48,C,C (4),5--10,706,94.1,61477,AILS-II,61431,TQrouting,0.075
64,XL-n4535-k1134,4534,1134,R,C (4),U,4,4.3,1203566,AILS-II,1203512,OptVerse-CityU,0.004
65,XL-n4635-k790,4634,790,C,RC (4),1--100,294,5.9,610650,AILS-II,609734,TQrouting,0.15
66,XL-n4738-k487,4737,487,E,R,Q,499,9.7,760501,AILS-II,759649,OptVerse-CityU,0.112
67,XL-n4844-k321,4843,321,R,R,SL,188,15.1,404652,AILS-II,404429,OptVerse-CityU,0.055
68,XL-n4951-k203,4950,203,E,RC (5),50--100,1848,24.5,285269,AILS-II,284769,TQrouting,0.175
69,XL-n5061-k184,5060,184,C,C (5),5--10,206,27.4,161629,AILS-II,161480,TQrouting,0.092
70,XL-n5174-k55,5173,55,C,C (6),1--10,520,94.1,61382,AILS-II,61254,OptVerse-CityU,0.209
71,XL-n5288-k1246,5287,1246,E,R,50--100,318,4.2,1960101,AILS-II,1958205,OptVerse-CityU,0.097
72,XL-n5406-k783,5405,783,R,RC (2),1--10,38,6.8,1040536,AILS-II,1040141,OptVerse-CityU,0.038
73,XL-n5526-k553,5525,553,R,C (3),U,10,10.0,336898,AILS-II,336843,OptVerse-CityU,0.016
74,XL-n5649-k401,5648,401,E,R,SL,181,14.1,644866,AILS-II,644562,TQrouting,0.047
75,XL-n5774-k290,5773,290,C,RC (4),1--100,1012,19.9,250207,AILS-II,249895,OptVerse-CityU,0.125
76,XL-n5902-k122,5901,122,E,RC (3),Q,2663,48.8,217447,AILS-II,217012,OptVerse-CityU,0.2
77,XL-n6034-k61,6033,61,R,C (5),5--10,744,98.9,64448,FILO2,64251,OptVerse-CityU,0.306
78,XL-n6168-k1922,6167,1922,C,R,1--100,162,3.2,1530010,AILS-II,1527390,TQrouting,0.171
79,XL-n6305-k1042,6304,1042,R,RC (2),Q,268,6.0,1177528,AILS-II,1176002,OptVerse-CityU,0.13
80,XL-n6445-k628,6444,628,E,R,5--10,77,10.2,996623,AILS-II,996117,OptVerse-CityU,0.051
81,XL-n6588-k473,6587,473,C,C (4),1--10,76,13.8,334068,AILS-II,333822,OptVerse-CityU,0.074
82,XL-n6734-k330,6733,330,R,RC (2),50--100,1534,20.4,448031,AILS-II,447486,OptVerse-CityU,0.122
83,XL-n6884-k148,6883,148,E,C (4),SL,357,46.4,181809,AILS-II,181585,OptVerse-CityU,0.123
84,XL-n7037-k38,7036,38,C,R,U,187,187.1,70845,AILS-II,70760,TQrouting,0.12
85,XL-n7193-k1683,7192,1683,E,RC (2),5--10,32,4.2,2958979,AILS-II,2958205,OptVerse-CityU,0.026
86,XL-n7353-k1471,7352,1471,R,R,U,5,5.1,1537811,AILS-II,1537702,OptVerse-CityU,0.007
87,XL-n7516-k859,7515,859,C,C (2),1--100,439,8.8,573902,AILS-II,572984,TQrouting,0.16
88,XL-n7683-k602,7682,602,R,RC (3),50--100,957,12.8,702098,AILS-II,701151,TQrouting,0.135
89,XL-n7854-k365,7853,365,E,C (2),SL,223,21.5,659221,AILS-II,659075,TQrouting,0.022
90,XL-n8028-k294,8027,294,C,R,Q,1386,27.3,266900,AILS-II,266295,OptVerse-CityU,0.227
91,XL-n8207-k108,8206,108,C,C (2),1--10,415,75.9,118274,AILS-II,118050,OptVerse-CityU,0.189
92,XL-n8389-k2028,8388,2028,E,RC (4),1--100,208,4.1,3358731,AILS-II,3353305,TQrouting,0.162
93,XL-n8575-k1297,8574,1297,R,R,1--10,36,6.5,1089137,AILS-II,1088376,TQrouting,0.07
94,XL-n8766-k1032,8765,1032,R,RC (4),50--100,637,8.5,906406,AILS-II,905060,TQrouting,0.148
95,XL-n8960-k634,8959,634,E,C (5),5--10,106,14.1,773383,AILS-II,772906,OptVerse-CityU,0.062
96,XL-n9160-k379,9159,379,C,R,SL,237,24.2,324092,AILS-II,323596,TQrouting,0.153
97,XL-n9363-k209,9362,209,C,RC (2),U,45,45.2,205575,FILO2,205369,Galileo,0.1
98,XL-n9571-k55,9570,55,R,R,Q,8773,174.7,106791,FILO2,106344,TQrouting,0.419
99,XL-n9784-k2774,9783,2774,E,C (4),1--10,19,3.4,4078217,AILS-II,4076936,TQrouting,0.031
100,XL-n10001-k1570,10000,1570,E,RC (2),50--100,479,6.4,2333757,AILS-II,2330666,TQrouting,0.132
